date_unix,date_GMT,Country,League,Home Team,Away Team,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,Odds_Home_Win,Odds_Draw,Odds_Away_Win,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Game Week,Match FootyStats URL
1746655560,May 07 2025 - 10:06pm,Esports,Esoccer Battle,Benfica (LaikingDast),Sporting (Kray),2.00,1.00,1.75,1.00,4.00,67,100,100,84,50,50,100,84,34,0,3.00,0.00,0,0,0,complete,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.35,3.50,2.25,N/A,N/A,N/A,1.82,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,17,50,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,N/A,N/A,N/A,1.17,1.14,0,/esports/benfica-laikingdast-vs-sporting-kray-h2h-stats#7894974
1746655560,May 07 2025 - 10:06pm,Esports,Esoccer Battle,FC Porto (hotShot),Rio Ave (Inquisitor),1.33,1.00,1.25,1.00,4.00,67,100,84,84,50,50,100,84,33,0,2.33,0.00,0,0,0,complete,1,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.75,2.18,3.00,N/A,N/A,1.74,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,1.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,17,17,50,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,N/A,N/A,N/A,1.33,1.17,0,/esports/fc-porto-hotshot-vs-rio-ave-inquisitor-h2h-stats#7894975
1746655680,May 07 2025 - 10:08pm,Esports,Esoccer Battle,France (Serenity),Germany (Samurai),0.33,2.33,0.25,2.50,2.33,67,100,67,50,17,0,84,67,33,0,1.33,1.00,0,0,0,complete,0,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.18,4.80,2.08,N/A,N/A,N/A,2.02,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,34,50,84,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,N/A,N/A,N/A,0.43,1.86,0,/esports/france-serenity-vs-germany-samurai-h2h-stats#7894990
1746655680,May 07 2025 - 10:08pm,Esports,Esoccer Battle,Spain (zoyir),Argentina (tohi4),2.00,3.00,2.25,2.25,4.17,84,100,84,84,67,67,84,84,50,0,1.33,2.00,0,0,0,complete,4,2,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.23,3.65,2.33,N/A,N/A,N/A,1.44,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,2.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,17,17,33,33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,N/A,N/A,N/A,2.00,1.57,0,/esports/spain-zoyir-vs-argentina-tohi4-h2h-stats#7894991
1746656280,May 07 2025 - 10:18pm,Esports,Esoccer Battle,Braga (Kodak),FC Porto (hotShot),2.00,1.33,1.50,1.75,5.17,100,100,100,84,84,84,100,84,50,0,2.33,0.00,0,0,0,complete,0,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.18,3.25,2.60,N/A,N/A,N/A,2.43,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,17,17,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,N/A,N/A,N/A,2.00,1.29,0,/esports/fc-porto-hotshot-vs-braga-kodak-h2h-stats#7895006
1746656280,May 07 2025 - 10:18pm,Esports,Esoccer Battle,Rio Ave (Inquisitor),Benfica (LaikingDast),1.33,0.33,1.25,0.50,3.84,84,100,100,67,67,50,100,67,50,0,2.50,0.00,0,0,0,complete,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.60,2.85,2.40,N/A,N/A,N/A,2.04,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,34,34,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67,N/A,N/A,N/A,1.14,1.14,0,/esports/benfica-laikingdast-vs-rio-ave-inquisitor-h2h-stats#7895007
1746657000,May 07 2025 - 10:30pm,Esports,Esoccer Battle,Juventus (zoyir),Napoli (Klever),0.00,0.00,2.00,1.25,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,3,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.38,3.60,2.38,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,0.00,0,/esports/juventus-zoyir-vs-napoli-klever-h2h-stats#7895002
1746657000,May 07 2025 - 10:30pm,Esports,Esoccer Battle,Fiorentina (Serenity),Bologna (tohi4),0.00,0.00,2.25,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.95,4.10,2.70,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,0.00,0,/esports/fiorentina-serenity-vs-bologna-tohi4-h2h-stats#7895003
1746657600,May 07 2025 - 10:40pm,Esports,Esoccer Battle,Ukraine (Inquisitor),Czechia (Kray),0.00,0.00,1.50,0.25,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,3,3,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.10,4.00,2.35,N/A,N/A,N/A,1.89,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,0.00,0,/esports/czechia-kray-vs-ukraine-inquisitor-h2h-stats#7895024
1746657600,May 07 2025 - 10:40pm,Esports,Esoccer Battle,Denmark (Kodak),USA (LaikingDast),0.00,0.00,1.50,2.25,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,2,4,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.00,3.50,2.75,N/A,N/A,N/A,1.71,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,0.00,0,/esports/usa-laikingdast-vs-denmark-kodak-h2h-stats#7895025
1746657720,May 07 2025 - 10:42pm,Esports,Esoccer Battle,Napoli (Klever),Fiorentina (Serenity),0.00,0.00,2.50,1.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,3,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.06,3.70,2.50,N/A,N/A,1.80,2.60,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,1.90,1.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.00,3.00,0,/esports/fiorentina-serenity-vs-napoli-klever-h2h-stats#7895022
1746657720,May 07 2025 - 10:42pm,Esports,Esoccer Battle,Bologna (tohi4),Roma (Samurai),0.00,0.00,2.00,0.25,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,3,2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.75,4.30,1.83,N/A,N/A,N/A,2.12,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,0.00,0,/esports/bologna-tohi4-vs-roma-samurai-h2h-stats#7895023
1746658320,May 07 2025 - 10:52pm,Esports,Esoccer Battle,USA (LaikingDast),Ghana (hotShot),0.00,0.00,1.50,0.50,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.07,3.40,2.65,N/A,N/A,N/A,2.25,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,3.00,0.00,0,/esports/usa-laikingdast-vs-ghana-hotshot-h2h-stats#7895018
1746658320,May 07 2025 - 10:52pm,Esports,Esoccer Battle,Czechia (Kray),Denmark (Kodak),0.00,0.00,0.25,2.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,0,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.20,3.15,1.93,N/A,N/A,N/A,1.76,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1.00,0.00,0,/esports/czechia-kray-vs-denmark-kodak-h2h-stats#7895019
1746658440,May 07 2025 - 10:54pm,Esports,Esoccer Battle,Roma (Samurai),Napoli (Klever),0.00,1.00,0.75,1.25,3.00,50,50,50,50,50,50,50,50,0,0,2.00,0.00,0,0,0,complete,3,4,1,0,-1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.20,3.75,2.32,N/A,N/A,1.83,2.60,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,1.88,1.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,0.00,1.00,0,/esports/napoli-klever-vs-roma-samurai-h2h-stats#7895015
1746658440,May 07 2025 - 10:54pm,Esports,Esoccer Battle,Fiorentina (Serenity),Juventus (zoyir),3.00,0.00,2.25,1.75,1.50,50,50,50,50,0,0,50,50,0,0,1.00,0.00,0,0,0,complete,1,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.65,4.20,1.88,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,50,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,2.00,1.00,0,/esports/fiorentina-serenity-vs-juventus-zoyir-h2h-stats#7895021
1746658800,May 07 2025 - 11:00pm,Canada,Canadian Championship,Forge FC,HFX Wanderers FC,0.00,0.00,3.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,complete,3,1,10,4,-1,-1,3,1,0,0,12,5,7,3,5,2,43,57,1.95,3.20,3.20,1.25,1.87,2.95,5.25,1.65,2.05,0.00,0.00,1.57,0.77,10.00,3.80,1.93,1.37,1.09,1.22,1.29,1.67,N/A,N/A,N/A,N/A,2.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,1.33,2.60,6.30,3.00,1.42,1.10,1.22,1.98,4.40,4.00,1.74,1.19,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.00,0.00,0,/canada/forge-fc-vs-hfx-wanderers-fc-h2h-stats#7837690
1746658800,May 07 2025 - 11:00pm,USA,US Open Cup,Pittsburgh Riverhounds,New York City,3.00,0.00,3.00,0.00,0.50,0,50,0,0,0,0,50,0,0,0,3.00,0.00,0,0,0,complete,1,0,5,3,-1,-1,1,0,0,1,12,11,6,4,6,7,32,68,3.31,3.31,2.00,1.29,1.85,2.90,5.95,1.73,2.00,1.23,0.00,1.58,1.56,10.60,3.40,1.94,1.33,1.11,1.25,1.27,1.30,N/A,N/A,1.27,1.50,1.95,2.50,3.50,3.40,2.38,1.85,1.46,1.26,0,50,50,50,50,1.30,2.45,6.00,2.90,1.45,1.09,1.22,2.05,4.30,3.90,1.70,1.16,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,3.00,0.00,0,/usa/new-york-city-fc-vs-pittsburgh-riverhounds-fc-h2h-stats#7883369
1746658800,May 07 2025 - 11:00pm,Mexico,Liga TDP Group Finals,Michoacán,Deportivo Zamora,2.00,2.00,2.00,2.00,2.75,75,100,75,50,50,0,25,25,0,0,4.00,-1.00,0,0,0,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.27,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,25,50,50,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,2.00,2.00,0,/mexico/michoacan-fc-vs-deportivo-zamora-fc-h2h-stats
1746658800,May 07 2025 - 11:00pm,Nicaragua,Liga Primera U20,Diriangén U20,Real Estelí U20,1.87,2.70,1.85,2.66,3.71,52,97,86,61,47,34,42,22,43,25,11.67,-2.00,34,34,34,complete,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.43,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,14,40,54,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,1.87,2.70,0,/nicaragua/diriangen-fc-under-20-vs-real-esteli-fc-under-20-h2h-stats#7894150
1746659040,May 07 2025 - 11:04pm,Esports,Esoccer Battle,Denmark (Kodak),Ukraine (Inquisitor),0.00,0.00,1.50,2.25,3.00,50,50,50,50,50,50,50,50,0,0,2.00,0.00,0,0,0,complete,0,3,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.08,3.20,2.75,N/A,N/A,N/A,2.20,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,1.50,1.00,0,/esports/ukraine-inquisitor-vs-denmark-kodak-h2h-stats#7895016
1746659040,May 07 2025 - 11:04pm,Esports,Esoccer Battle,Ghana (hotShot),Czechia (Kray),0.00,1.00,1.75,0.25,3.00,50,50,50,50,50,50,50,50,0,0,0.00,0.00,0,0,0,complete,4,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.30,3.35,2.40,N/A,N/A,N/A,2.08,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.62,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,0.00,0.50,0,/esports/czechia-kray-vs-ghana-hotshot-h2h-stats#7895017
1746659160,May 07 2025 - 11:06pm,Esports,Esoccer Battle,Juventus (zoyir),Roma (Samurai),1.00,0.00,2.00,0.25,5.50,100,100,100,100,100,100,100,100,0,0,4.00,0.00,0,0,0,complete,1,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.38,3.80,2.14,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,2.00,0.00,0,/esports/juventus-zoyir-vs-roma-samurai-h2h-stats#7895014
1746659160,May 07 2025 - 11:06pm,Esports,Esoccer Battle,Napoli (Klever),Bologna (tohi4),1.00,0.00,2.50,0.00,4.50,100,100,100,100,50,50,100,100,50,0,0.00,0.00,0,0,0,complete,3,2,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.65,4.10,3.45,N/A,N/A,N/A,2.43,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,50,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,1.67,1.50,0,/esports/napoli-klever-vs-bologna-tohi4-h2h-stats#7895020
1746659700,May 07 2025 - 11:15pm,Honduras,Liga Nacional de Fútbol Profesional de Honduras,Génesis,Motagua,1.16,1.85,1.13,1.88,2.74,56,94,80,50,28,14,76,27,80,48,10.36,-1.14,67,59,50,complete,1,4,8,5,-1,-1,-1,-1,-1,-1,7,12,4,10,3,2,50,50,4.50,3.55,1.68,1.33,1.77,3.60,7.50,1.87,1.77,1.04,1.43,1.00,1.68,8.00,3.00,1.93,1.22,1.07,1.30,1.26,1.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,21,50,72,86,1.35,3.00,8.20,2.80,1.33,1.06,1.29,2.30,5.25,3.30,1.57,1.13,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,1.16,1.85,0,/honduras/cd-motagua-vs-club-deportivo-genesis-h2h-stats#7892404
1746659760,May 07 2025 - 11:16pm,Esports,Esoccer Battle,Czechia (Kray),USA (LaikingDast),0.00,3.00,0.25,2.25,5.00,50,100,100,100,100,50,100,100,0,0,2.00,0.00,0,0,0,complete,4,5,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.35,3.90,2.14,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,0.33,3.00,0,/esports/czechia-kray-vs-usa-laikingdast-h2h-stats#7895012
1746659760,May 07 2025 - 11:16pm,Esports,Esoccer Battle,Ukraine (Inquisitor),Ghana (hotShot),1.00,0.00,1.50,0.50,5.50,100,100,100,100,100,100,100,100,0,0,1.00,0.00,0,0,0,complete,1,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.55,2.70,2.55,N/A,N/A,N/A,2.15,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,1.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,2.00,1.50,0,/esports/ukraine-inquisitor-vs-ghana-hotshot-h2h-stats#7895013
1746659880,May 07 2025 - 11:18pm,Esports,Esoccer Battle,Roma (Samurai),Fiorentina (Serenity),0.00,1.00,0.75,1.00,6.50,100,100,100,100,100,100,100,100,50,0,1.00,1.00,0,0,0,complete,2,3,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,0.33,1.33,0,/esports/fiorentina-serenity-vs-roma-samurai-h2h-stats#7895027
1746659880,May 07 2025 - 11:18pm,Esports,Esoccer Battle,Bologna (tohi4),Juventus (zoyir),3.00,3.00,2.00,1.75,4.00,100,100,100,100,50,50,100,100,50,0,0.00,0.00,0,0,0,complete,3,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,50,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,1.00,1.67,0,/esports/juventus-zoyir-vs-bologna-tohi4-h2h-stats#7895035
1746660480,May 07 2025 - 11:28pm,Esports,Esoccer Battle,Ghana (hotShot),Denmark (Kodak),3.00,3.00,1.75,2.00,4.50,50,100,100,100,100,50,100,100,0,0,1.00,0.00,0,0,0,complete,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,1.33,1.00,0,/esports/ghana-hotshot-vs-denmark-kodak-h2h-stats#7895030
